,Record Date,Venue Name,Sum of Net Revenue
1,2026-05-13,Sky Zone Peoria AZ,"$3,574.84"
2,2026-05-13,Sky Zone Roanoke VA,"$2,124.14"
3,2026-05-13,Sky Zone Everett MA,"$2,025.17"
4,2026-05-13,Sky Zone Denver Aurora,"$3,001.63"
5,2026-05-13,Sky Zone Mission Viejo,"$8,352.06"
6,2026-05-13,Sky Zone Muskegon MI,$896.28
7,2026-05-13,Sky Zone Visalia,"$7,462.30"
8,2026-05-13,Sky Zone Columbia,"$3,381.71"
9,2026-05-13,Sky Zone New Rochelle,"$2,853.56"
10,2026-05-13,Sky Zone Tampa,"$2,420.29"
11,2026-05-13,Sky Zone Dayton Centerville OH,"$1,274.92"
12,2026-05-13,Sky Zone Louisville Middletown,"$4,006.39"
13,2026-05-13,Sky Zone Springfield VA,"$6,172.57"
14,2026-05-13,Sky Zone Chicago Lincoln Park IL,"$2,558.32"
15,2026-05-13,Sky Zone Flint MI,"$4,230.06"
16,2026-05-13,Sky Zone Monroeville PA,"$1,797.53"
17,2026-05-13,DEFY Iowa City,"$1,452.70"
18,2026-05-13,Sky Zone Vallejo CA,"$3,372.24"
19,2026-05-13,Sky Zone Algonquin IL,"$1,327.06"
20,2026-05-13,Sky Zone Olympia,"$5,531.79"
21,2026-05-13,Sky Zone Eagan,"$1,642.34"
22,2026-05-13,Sky Zone Yonkers Central Park Avenue NY,"$2,873.58"
23,2026-05-13,Sky Zone Fort Myers,"$4,095.88"
24,2026-05-13,Sky Zone Augusta GA,"$2,789.24"
25,2026-05-13,Sky Zone Gaithersburg,"$3,137.61"
26,2026-05-13,Sky Zone Chesapeake,"$1,553.26"
27,2026-05-13,Sky Zone Clovis,"$9,476.58"
28,2026-05-13,Sky Zone Mishawaka,"$4,049.40"
29,2026-05-13,Sky Zone Toledo Holland,"$2,730.83"
30,2026-05-13,Sky Zone Commerce Township Detroit,"$2,565.25"
31,2026-05-13,Sky Zone Merced,$797.83
32,2026-05-13,Sky Zone Ocean,"$3,821.52"
33,2026-05-13,Sky Zone Rogers AR,"$3,489.86"
34,2026-05-13,Sky Zone Lansing MI,"$1,500.20"
35,2026-05-13,Sky Zone Little Rock AR,"$5,060.50"
36,2026-05-13,Sky Zone Silverdale,"$5,833.00"
37,2026-05-13,Sky Zone Van Nuys CA,"$11,455.17"
38,2026-05-13,Sky Zone North Indianapolis,"$5,345.89"
39,2026-05-13,DEFY Charlotte,"$2,396.29"
40,2026-05-13,Sky Zone Oaks Phoenixville,"$2,238.15"
41,2026-05-13,DEFY Raleigh,"$2,518.27"
42,2026-05-13,Sky Zone Fredericksburg,"$2,031.96"
43,2026-05-13,Sky Zone Florence SC,"$2,715.90"
44,2026-05-13,Sky Zone Wilmington NC,"$2,684.14"
45,2026-05-13,Sky Zone Palm Springs,"$3,660.22"
46,2026-05-13,Sky Zone Chattanooga,"$3,045.69"
47,2026-05-13,Sky Zone Atlanta,"$4,556.91"
48,2026-05-13,Sky Zone Boynton Beach,"$1,949.83"
49,2026-05-13,Sky Zone Frisco Preston Ridge TX,"$2,221.14"
50,2026-05-13,Sky Zone Mauldin SC,"$3,500.61"
51,2026-05-13,DEFY Scranton,"$2,729.97"
52,2026-05-13,Sky Zone Allendale Saddle River NJ,"$1,353.48"
53,2026-05-13,Sky Zone Knoxville,"$4,837.58"
54,2026-05-13,Sky Zone Blaine,"$1,900.26"
55,2026-05-13,Sky Zone Modesto,"$5,490.71"
