,Record Date,Venue Name,Sum of Net Revenue
1,2026-04-14,Sky Zone Florence KY,"$5,002.61"
2,2026-04-14,Sky Zone Oakdale,"$2,216.91"
3,2026-04-14,Sky Zone North Indianapolis,"$3,651.98"
4,2026-04-14,Sky Zone Vernon Hills,"$4,771.34"
5,2026-04-14,Sky Zone Gaithersburg,"$4,779.70"
6,2026-04-14,Sky Zone Mountlake Terrace WA,"$10,765.55"
7,2026-04-14,DEFY Scranton,"$4,334.25"
8,2026-04-14,Sky Zone Vancouver,"$4,399.85"
9,2026-04-14,Sky Zone Short Pump,"$1,543.32"
10,2026-04-14,Sky Zone Maple Grove,"$3,103.48"
11,2026-04-14,Sky Zone Olympia,"$8,938.24"
12,2026-04-14,Sky Zone Lakeland,"$2,790.15"
13,2026-04-14,Sky Zone Clovis,"$7,668.90"
14,2026-04-14,Sky Zone New Rochelle,"$2,024.38"
15,2026-04-14,Sky Zone Mississauga,"$4,201.90"
16,2026-04-14,Sky Zone Flint MI,"$3,931.08"
17,2026-04-14,Sky Zone Scottsdale AZ,"$2,909.35"
18,2026-04-14,Sky Zone Mission Viejo,"$9,083.47"
19,2026-04-14,Sky Zone Silverdale,"$6,678.23"
20,2026-04-14,Sky Zone Bradenton Lakewood FL,"$1,848.35"
21,2026-04-14,Sky Zone Port Saint Lucie FL,"$5,069.40"
22,2026-04-14,Sky Zone Bridgeville Hendersonville PA,"$2,637.08"
23,2026-04-14,Sky Zone Duluth,"$5,139.68"
24,2026-04-14,Sky Zone Fredericksburg,"$1,434.78"
25,2026-04-14,Sky Zone Chattanooga,"$3,132.11"
26,2026-04-14,Sky Zone Blaine,"$2,214.63"
27,2026-04-14,Sky Zone Huntington Beach CA,"$6,508.08"
28,2026-04-14,Sky Zone Vaughan,"$4,760.17"
29,2026-04-14,Sky Zone Toronto,"$5,976.26"
30,2026-04-14,Sky Zone Springfield NJ,"$3,529.07"
31,2026-04-14,Sky Zone Monroeville PA,"$2,240.93"
32,2026-04-14,Sky Zone San Jose,"$3,200.94"
33,2026-04-14,Sky Zone Mt Olive Budd Lake NJ,"$2,185.30"
34,2026-04-14,Sky Zone Torrance,"$9,032.30"
35,2026-04-14,Sky Zone Mishawaka,"$3,717.26"
36,2026-04-14,Sky Zone Dulles Town Center VA,"$3,505.56"
37,2026-04-14,DEFY Jackson,"$2,891.69"
38,2026-04-14,Sky Zone Woodbridge,"$3,489.06"
39,2026-04-14,Sky Zone Palm Springs,"$6,276.02"
40,2026-04-14,Sky Zone Baytown TX,"$2,015.59"
41,2026-04-14,Sky Zone Manassas,"$2,492.03"
42,2026-04-14,Sky Zone Wilmington NC,"$2,961.33"
43,2026-04-14,Sky Zone Modesto,"$3,117.85"
44,2026-04-14,Sky Zone Springfield VA,"$8,549.60"
45,2026-04-14,Sky Zone Wayne Willowbrook NJ,"$4,022.70"
46,2026-04-14,Sky Zone New Orleans,"$2,873.81"
47,2026-04-14,Sky Zone Rogers AR,"$2,653.28"
48,2026-04-14,Sky Zone Chicago Lincoln Park IL,"$2,192.92"
49,2026-04-14,Sky Zone Thousand Oaks,"$10,213.02"
50,2026-04-14,Sky Zone Seattle Tukwila,"$17,537.06"
51,2026-04-14,Sky Zone Santa Clarita CA,"$4,086.52"
52,2026-04-14,Sky Zone Augusta GA,"$2,720.22"
53,2026-04-14,Sky Zone Commerce Township Detroit,"$2,887.92"
54,2026-04-14,Sky Zone Baton Rouge,"$1,345.78"
55,2026-04-14,Sky Zone Orlando,"$3,373.11"
56,2026-04-14,Sky Zone South Plainfield Piscataway NJ,"$3,049.02"
57,2026-04-14,DEFY Cincinnati,$387.82
58,2026-04-14,Sky Zone Atlanta,"$2,534.30"
59,2026-04-14,Sky Zone Vallejo CA,"$2,970.00"
60,2026-04-14,Sky Zone Florence SC,"$2,928.09"
61,2026-04-14,Sky Zone Algonquin IL,"$1,920.42"
62,2026-04-14,Sky Zone Orland Park,"$5,022.22"
63,2026-04-14,Sky Zone Pensacola,"$2,770.03"
64,2026-04-14,Sky Zone Mount Kisco,"$3,189.11"
65,2026-04-14,Sky Zone Yonkers,"$4,741.38"
66,2026-04-14,Sky Zone Palm Bay Melbourne FL,"$3,599.43"
67,2026-04-14,Sky Zone Savannah GA,"$3,571.70"
68,2026-04-14,Sky Zone Roswell GA,"$2,687.16"
69,2026-04-14,Sky Zone San Carlos,"$5,169.24"
70,2026-04-14,Sky Zone Toledo Holland,"$2,947.25"
71,2026-04-14,Sky Zone Summerlin Las Vegas,"$5,057.58"
72,2026-04-14,Sky Zone Oaks Phoenixville,"$2,174.98"
73,2026-04-14,Sky Zone Nampa ID,"$2,814.79"
74,2026-04-14,Sky Zone Everett MA,$479.01
75,2026-04-14,Sky Zone Roseville,"$3,937.59"
76,2026-04-14,Sky Zone Chesapeake,"$2,356.55"
77,2026-04-14,Sky Zone Deer Park,"$5,507.16"
78,2026-04-14,Sky Zone Brentwood CA,"$2,403.80"
79,2026-04-14,Sky Zone Allendale Saddle River NJ,"$2,936.67"
80,2026-04-14,Sky Zone Arvada,"$3,341.20"
81,2026-04-14,Sky Zone Tampa,"$2,695.31"
82,2026-04-14,Sky Zone North Fort Myers,"$4,589.54"
83,2026-04-14,Sky Zone Yonkers Central Park Avenue NY,"$4,810.83"
84,2026-04-14,Sky Zone Vestal Binghamton NY,"$2,862.32"
85,2026-04-14,Sky Zone Clarksville,"$4,173.90"
86,2026-04-14,Sky Zone Knoxville,"$5,462.33"
87,2026-04-14,Sky Zone Dublin CA,"$5,008.69"
88,2026-04-14,Sky Zone Spring Valley Nanuet NY,"$2,511.93"
89,2026-04-14,Sky Zone Phoenix AZ,"$2,572.43"
90,2026-04-14,Sky Zone Roanoke VA,$627.73
91,2026-04-14,Ryze Hong Kong,"$4,801.00"
92,2026-04-14,Sky Zone Evanston,"$2,181.44"
93,2026-04-14,Sky Zone Columbia,"$2,805.87"
94,2026-04-14,Sky Zone Denver Aurora,"$5,288.63"
95,2026-04-14,Sky Zone Tacoma WA,"$4,943.58"
96,2026-04-14,Sky Zone Thornton,"$4,134.09"
97,2026-04-14,Sky Zone Birmingham AL,"$2,222.70"
98,2026-04-14,Sky Zone Fort Myers,"$3,984.82"
99,2026-04-14,Sky Zone Merced,"$1,201.01"
100,2026-04-14,Sky Zone Edina,"$3,155.27"
101,2026-04-14,Sky Zone Whitby,"$3,832.89"
102,2026-04-14,Sky Zone Mauldin SC,"$1,533.97"
103,2026-04-14,Sky Zone Ocean,"$4,277.75"
104,2026-04-14,Sky Zone Ballwin St Louis,"$4,232.88"
105,2026-04-14,Sky Zone Lansing MI,"$1,895.66"
106,2026-04-14,Sky Zone Daytona,"$1,863.00"
107,2026-04-14,Sky Zone Boynton Beach,"$4,015.84"
108,2026-04-14,Sky Zone Chula Vista,"$3,229.41"
109,2026-04-14,Sky Zone Nashville,"$7,337.94"
110,2026-04-14,Sky Zone Louisville Middletown,"$4,976.93"
111,2026-04-14,Sky Zone Muskegon MI,"$1,446.37"
112,2026-04-14,DEFY Iowa City,"$3,077.63"
113,2026-04-14,Sky Zone Parker,"$2,786.06"
114,2026-04-14,Sky Zone Beaverton,"$7,794.57"
115,2026-04-14,Sky Zone Metairie,"$1,889.16"
116,2026-04-14,Sky Zone Riverside,"$2,252.33"
117,2026-04-14,DEFY Charlotte,"$1,552.09"
118,2026-04-14,Sky Zone Little Rock AR,"$1,431.18"
119,2026-04-14,Sky Zone Fayetteville,"$3,722.98"
120,2026-04-14,Sky Zone Deerfield IL,"$2,782.31"
121,2026-04-14,Sky Zone Temecula,"$3,686.98"
122,2026-04-14,DEFY Raleigh,"$3,215.74"
123,2026-04-14,Sky Zone Danvers MA,"$1,786.08"
124,2026-04-14,Sky Zone Apex,"$6,376.36"
125,2026-04-14,Sky Zone Providence RI,"$1,249.77"
126,2026-04-14,Sky Zone Frisco Preston Ridge TX,"$2,944.98"
127,2026-04-14,Sky Zone Eagan,"$2,494.89"
128,2026-04-14,Sky Zone Dayton Centerville OH,"$2,144.41"
129,2026-04-14,Sky Zone Sacramento,"$3,366.76"
130,2026-04-14,Sky Zone Van Nuys CA,"$16,493.27"
131,2026-04-14,Sky Zone Peoria AZ,"$1,106.70"
132,2026-04-14,Sky Zone Rancho Cucamonga,"$6,244.95"
133,2026-04-14,Sky Zone Visalia,"$6,433.86"
134,2026-04-14,Sky Zone Houston Copperfield TX,$785.24
135,2026-04-14,Sky Zone Fort Wayne,"$2,889.18"
