,Record Date,Venue Name,Sum of Net Revenue
1,2026-04-24,Sky Zone Metairie,"$1,448.52"
2,2026-04-24,Sky Zone Parker,"$1,656.47"
3,2026-04-24,Sky Zone Savannah GA,"$1,786.56"
4,2026-04-24,Sky Zone Arvada,"$1,930.30"
5,2026-04-24,Sky Zone Evanston,"$2,164.28"
6,2026-04-24,Sky Zone New Orleans,"$2,119.11"
7,2026-04-24,Sky Zone Thousand Oaks,"$5,700.57"
8,2026-04-24,Sky Zone Short Pump,$715.73
9,2026-04-24,Sky Zone Mauldin SC,$787.68
10,2026-04-24,Sky Zone Mission Viejo,"$6,314.51"
11,2026-04-24,Sky Zone San Jose,"$1,904.81"
12,2026-04-24,Sky Zone Modesto,"$2,379.54"
13,2026-04-24,Sky Zone Columbia,$888.67
14,2026-04-24,Sky Zone Fort Myers,"$1,318.53"
15,2026-04-24,Sky Zone Vestal Binghamton NY,"$1,495.34"
16,2026-04-24,Sky Zone Fort Wayne,"$1,368.49"
17,2026-04-24,Sky Zone Springfield VA,"$2,888.02"
18,2026-04-24,Sky Zone Summerlin Las Vegas,"$2,267.63"
19,2026-04-24,Sky Zone Clovis,"$5,311.14"
20,2026-04-24,Sky Zone Dulles Town Center VA,$288.91
21,2026-04-24,Sky Zone Everett MA,"$1,024.62"
22,2026-04-24,Sky Zone Rancho Cucamonga,"$2,413.30"
23,2026-04-24,Sky Zone Toronto,"$2,123.11"
24,2026-04-24,Sky Zone Yonkers,"$2,867.14"
25,2026-04-24,Sky Zone Torrance,"$2,946.09"
26,2026-04-24,Sky Zone Vernon Hills,"$2,339.20"
27,2026-04-24,Sky Zone Rogers AR,"$2,206.58"
28,2026-04-24,Sky Zone Silverdale,"$2,894.81"
29,2026-04-24,Sky Zone Toledo Holland,"$2,160.13"
30,2026-04-24,Sky Zone Riverside,"$1,590.84"
31,2026-04-24,Sky Zone Visalia,"$2,706.98"
32,2026-04-24,Sky Zone Brentwood CA,"$1,245.58"
33,2026-04-24,Sky Zone Fredericksburg,$829.63
34,2026-04-24,Sky Zone Roanoke VA,$429.83
35,2026-04-24,Sky Zone Orlando,"$1,066.65"
36,2026-04-24,Sky Zone Pensacola,$689.76
37,2026-04-24,Sky Zone Dublin CA,"$2,140.35"
38,2026-04-24,Sky Zone Monroeville PA,$627.71
39,2026-04-24,Sky Zone Baton Rouge,$537.78
40,2026-04-24,Sky Zone Frisco Preston Ridge TX,$995.79
41,2026-04-24,Sky Zone Chattanooga,"$1,593.47"
42,2026-04-24,Sky Zone Deerfield IL,"$2,826.84"
43,2026-04-24,Sky Zone Boynton Beach,"$1,790.31"
44,2026-04-24,Sky Zone Atlanta,"$2,927.01"
45,2026-04-24,Sky Zone Roswell GA,"$1,420.50"
46,2026-04-24,Sky Zone Dayton Centerville OH,"$1,231.50"
47,2026-04-24,Sky Zone Orland Park,"$3,507.86"
48,2026-04-24,Sky Zone Danvers MA,"$1,240.14"
49,2026-04-24,Sky Zone San Carlos,"$2,224.21"
50,2026-04-24,Sky Zone Chula Vista,"$2,126.74"
51,2026-04-24,Sky Zone Eagan,$576.34
52,2026-04-24,Sky Zone Edina,"$1,310.42"
53,2026-04-24,DEFY Charlotte,"$1,081.55"
54,2026-04-24,DEFY Raleigh,"$1,901.70"
55,2026-04-24,Sky Zone Springfield NJ,"$1,349.54"
56,2026-04-24,Sky Zone Merced,$912.58
57,2026-04-24,Sky Zone Gaithersburg,"$2,220.13"
58,2026-04-24,Sky Zone Birmingham AL,"$2,038.21"
59,2026-04-24,Sky Zone Ocean,"$1,715.37"
60,2026-04-24,Sky Zone Mishawaka,"$1,427.45"
61,2026-04-24,Sky Zone Florence SC,"$1,385.30"
62,2026-04-24,Sky Zone Peoria AZ,$411.81
63,2026-04-24,Sky Zone Louisville Middletown,"$2,260.05"
64,2026-04-24,Sky Zone Oakdale,$966.74
65,2026-04-24,Sky Zone Muskegon MI,"$1,263.48"
66,2026-04-24,Sky Zone Lansing MI,$856.64
67,2026-04-24,Sky Zone Algonquin IL,"$1,233.41"
68,2026-04-24,Sky Zone North Fort Myers,"$2,978.33"
69,2026-04-24,Sky Zone Sacramento,"$2,201.20"
70,2026-04-24,Sky Zone Beaverton,"$6,178.01"
71,2026-04-24,Sky Zone Huntington Beach CA,$0.00
72,2026-04-24,Sky Zone Ballwin St Louis,"$1,133.54"
73,2026-04-24,Sky Zone Blaine,$900.71
74,2026-04-24,Sky Zone Yonkers Central Park Avenue NY,"$2,309.42"
75,2026-04-24,Sky Zone Commerce Township Detroit,"$2,629.04"
